customer_id,customer_name,customer_type,city,country
1,Summit Hospital ELD1,Hospital,Eldoret,Kenya
2,Summit Clinic NAI2,Clinic,Nairobi,Kenya
3,Uzima Pharmacy NAI3,Retail Pharmacy,Nairobi,Kenya
4,Riverside Hospital JIN4,Hospital,Jinja,Uganda
5,Crescent Clinic NAI5,Clinic,Nairobi,Kenya
6,Zawadi Clinic MBA6,Clinic,Mbarara,Uganda
7,Hope Pharmacy NAK7,Retail Pharmacy,Nakuru,Kenya
8,Lakeview Clinic KIS8,Clinic,Kisumu,Kenya
9,Sunrise Clinic ARU9,Clinic,Arusha,Tanzania
10,Baraka Hospital MWA10,Hospital,Mwanza,Tanzania
11,Meadow Hospital ELD11,Hospital,Eldoret,Kenya
12,Harambee Pharmacy KIS12,Retail Pharmacy,Kisumu,Kenya
13,Riverside Pharmacy GUL13,Retail Pharmacy,Gulu,Uganda
14,Metro Pharmacy MOM14,Retail Pharmacy,Mombasa,Kenya
15,Baraka Pharmacy ELD15,Retail Pharmacy,Eldoret,Kenya
16,Uzima Pharmacy KIS16,Retail Pharmacy,Kisumu,Kenya
17,Meadow Health Foundation MBA17,NGO,Mbarara,Uganda
18,Prime Clinic NAK18,Clinic,Nakuru,Kenya
19,Metro Health Foundation GUL19,NGO,Gulu,Uganda
20,Nyota Pharmacy DOD20,Retail Pharmacy,Dodoma,Tanzania
21,Harambee Hospital NAK21,Hospital,Nakuru,Kenya
22,Uzima Health Foundation MWA22,NGO,Mwanza,Tanzania
23,Metro Clinic JIN23,Clinic,Jinja,Uganda
24,Nyota Pharmacy MOM24,Retail Pharmacy,Mombasa,Kenya
25,Crescent Health Foundation NAK25,NGO,Nakuru,Kenya
26,Cedar Pharmacy ARU26,Retail Pharmacy,Arusha,Tanzania
27,Nyota Hospital NAK27,Hospital,Nakuru,Kenya
28,Amani Clinic DOD28,Clinic,Dodoma,Tanzania
29,Sunrise Pharmacy NAI29,Retail Pharmacy,Nairobi,Kenya
30,Prime Clinic KAM30,Clinic,Kampala,Uganda
31,Sunrise Clinic DOD31,Clinic,Dodoma,Tanzania
32,Baraka Pharmacy ELD32,Retail Pharmacy,Eldoret,Kenya
33,Harambee Pharmacy MWA33,Retail Pharmacy,Mwanza,Tanzania
34,Zawadi Pharmacy MBA34,Retail Pharmacy,Mbarara,Uganda
35,Highland Clinic ARU35,Clinic,Arusha,Tanzania
36,Zawadi Pharmacy DAR36,Retail Pharmacy,Dar es Salaam,Tanzania
37,Unity Hospital ELD37,Hospital,Eldoret,Kenya
38,Crescent Clinic MOM38,Clinic,Mombasa,Kenya
39,Unity Pharmacy NAI39,Retail Pharmacy,Nairobi,Kenya
40,Metro Health Foundation MWA40,NGO,Mwanza,Tanzania
41,Baraka Pharmacy MOM41,Retail Pharmacy,Mombasa,Kenya
42,Hope Clinic MWA42,Clinic,Mwanza,Tanzania
43,Amani Clinic KIS43,Clinic,Kisumu,Kenya
44,Cedar Pharmacy KIS44,Retail Pharmacy,Kisumu,Kenya
45,Lakeview Pharmacy NAI45,Retail Pharmacy,Nairobi,Kenya
46,Unity Pharmacy JIN46,Retail Pharmacy,Jinja,Uganda
47,Nyota Clinic ARU47,Clinic,Arusha,Tanzania
48,Sunrise Clinic KIS48,Clinic,Kisumu,Kenya
49,Lakeview Clinic MOM49,Clinic,Mombasa,Kenya
50,Metro Hospital MBA50,Hospital,Mbarara,Uganda
51,Highland Pharmacy NAK51,Retail Pharmacy,Nakuru,Kenya
52,Riverside Clinic MOM52,Clinic,Mombasa,Kenya
53,Jubilee Clinic JIN53,Clinic,Jinja,Uganda
54,Summit Hospital NAK54,Hospital,Nakuru,Kenya
55,Prime Clinic GUL55,Clinic,Gulu,Uganda
56,Uzima Pharmacy DOD56,Retail Pharmacy,Dodoma,Tanzania
57,Lakeview Clinic KIS57,Clinic,Kisumu,Kenya
58,Baraka Pharmacy GUL58,Retail Pharmacy,Gulu,Uganda
59,Highland Pharmacy DAR59,Retail Pharmacy,Dar es Salaam,Tanzania
60,Harambee Pharmacy NAI60,Retail Pharmacy,Nairobi,Kenya
61,Riverside Pharmacy JIN61,Retail Pharmacy,Jinja,Uganda
62,Zawadi Pharmacy NAI62,Retail Pharmacy,Nairobi,Kenya
63,Harambee Pharmacy KAM63,Retail Pharmacy,Kampala,Uganda
64,Uzima Pharmacy MOM64,Retail Pharmacy,Mombasa,Kenya
65,Uzima Clinic NAI65,Clinic,Nairobi,Kenya
66,Riverside Hospital KAM66,Hospital,Kampala,Uganda
67,Kilimo Clinic MOM67,Clinic,Mombasa,Kenya
68,Jubilee Pharmacy ELD68,Retail Pharmacy,Eldoret,Kenya
69,Lakeview Clinic MOM69,Clinic,Mombasa,Kenya
70,Kilimo Health Foundation MOM70,NGO,Mombasa,Kenya
71,Uzima Clinic NAI71,Clinic,Nairobi,Kenya
72,Riverside Pharmacy NAI72,Retail Pharmacy,Nairobi,Kenya
73,Meadow Pharmacy ELD73,Retail Pharmacy,Eldoret,Kenya
74,Kilimo Hospital NAI74,Hospital,Nairobi,Kenya
75,Prime Hospital KAM75,Hospital,Kampala,Uganda
76,Nyota Clinic ELD76,Clinic,Eldoret,Kenya
77,Harambee Clinic NAK77,Clinic,Nakuru,Kenya
78,Jubilee Clinic ELD78,Clinic,Eldoret,Kenya
79,Cedar Health Foundation JIN79,NGO,Jinja,Uganda
80,Nyota Pharmacy ARU80,Retail Pharmacy,Arusha,Tanzania
81,Nyota Pharmacy GUL81,Retail Pharmacy,Gulu,Uganda
82,Crescent Pharmacy KIS82,Retail Pharmacy,Kisumu,Kenya
83,Hope Pharmacy NAI83,Retail Pharmacy,Nairobi,Kenya
84,Lakeview Clinic KAM84,Clinic,Kampala,Uganda
85,Baraka Clinic NAK85,Clinic,Nakuru,Kenya
86,Prime Pharmacy KIS86,Retail Pharmacy,Kisumu,Kenya
87,Baraka Hospital NAK87,Hospital,Nakuru,Kenya
88,Jubilee Pharmacy ELD88,Retail Pharmacy,Eldoret,Kenya
89,Jubilee Pharmacy GUL89,Retail Pharmacy,Gulu,Uganda
90,Uzima Hospital DOD90,Hospital,Dodoma,Tanzania
91,Unity Pharmacy NAK91,Retail Pharmacy,Nakuru,Kenya
92,Harambee Clinic KIS92,Clinic,Kisumu,Kenya
93,Uzima Hospital ELD93,Hospital,Eldoret,Kenya
94,Metro Pharmacy DAR94,Retail Pharmacy,Dar es Salaam,Tanzania
95,Zawadi Pharmacy MBA95,Retail Pharmacy,Mbarara,Uganda
96,Highland Hospital MBA96,Hospital,Mbarara,Uganda
97,Summit Pharmacy DOD97,Retail Pharmacy,Dodoma,Tanzania
98,Sunrise Clinic KIS98,Clinic,Kisumu,Kenya
99,Zawadi Pharmacy KIS99,Retail Pharmacy,Kisumu,Kenya
100,Kilimo Clinic ELD100,Clinic,Eldoret,Kenya
101,Prime Pharmacy DAR101,Retail Pharmacy,Dar es Salaam,Tanzania
102,Amani Clinic DAR102,Clinic,Dar es Salaam,Tanzania
103,Metro Clinic MOM103,Clinic,Mombasa,Kenya
104,Cedar Hospital ELD104,Hospital,Eldoret,Kenya
105,Summit Clinic MBA105,Clinic,Mbarara,Uganda
106,Prime Clinic KIS106,Clinic,Kisumu,Kenya
107,Riverside Pharmacy DOD107,Retail Pharmacy,Dodoma,Tanzania
108,Amani Pharmacy KAM108,Retail Pharmacy,Kampala,Uganda
109,Summit Clinic ELD109,Clinic,Eldoret,Kenya
110,Lakeview Pharmacy ELD110,Retail Pharmacy,Eldoret,Kenya
111,Riverside Pharmacy MBA111,Retail Pharmacy,Mbarara,Uganda
112,Cedar Hospital MWA112,Hospital,Mwanza,Tanzania
113,Zawadi Pharmacy NAI113,Retail Pharmacy,Nairobi,Kenya
114,Riverside Clinic NAI114,Clinic,Nairobi,Kenya
115,Uzima Pharmacy ARU115,Retail Pharmacy,Arusha,Tanzania
116,Lakeview Clinic DAR116,Clinic,Dar es Salaam,Tanzania
117,Kilimo Pharmacy MOM117,Retail Pharmacy,Mombasa,Kenya
118,Baraka Pharmacy KIS118,Retail Pharmacy,Kisumu,Kenya
119,Amani Health Foundation NAI119,NGO,Nairobi,Kenya
120,Amani Pharmacy NAK120,Retail Pharmacy,Nakuru,Kenya
121,Lakeview Clinic MOM121,Clinic,Mombasa,Kenya
122,Metro Health Foundation DOD122,NGO,Dodoma,Tanzania
123,Unity Pharmacy DOD123,Retail Pharmacy,Dodoma,Tanzania
124,Unity Hospital NAI124,Hospital,Nairobi,Kenya
125,Unity Hospital DAR125,Hospital,Dar es Salaam,Tanzania
126,Kilimo Pharmacy KIS126,Retail Pharmacy,Kisumu,Kenya
127,Nyota Hospital DAR127,Hospital,Dar es Salaam,Tanzania
128,Meadow Pharmacy NAK128,Retail Pharmacy,Nakuru,Kenya
129,Riverside Clinic ARU129,Clinic,Arusha,Tanzania
130,Amani Pharmacy DAR130,Retail Pharmacy,Dar es Salaam,Tanzania
131,Uzima Pharmacy ELD131,Retail Pharmacy,Eldoret,Kenya
132,Cedar Pharmacy ELD132,Retail Pharmacy,Eldoret,Kenya
133,Baraka Clinic KIS133,Clinic,Kisumu,Kenya
134,Nyota Pharmacy DOD134,Retail Pharmacy,Dodoma,Tanzania
135,Highland Pharmacy KIS135,Retail Pharmacy,Kisumu,Kenya
136,Riverside Clinic DAR136,Clinic,Dar es Salaam,Tanzania
137,Kilimo Hospital GUL137,Hospital,Gulu,Uganda
138,Sunrise Pharmacy MBA138,Retail Pharmacy,Mbarara,Uganda
139,Cedar Health Foundation NAI139,NGO,Nairobi,Kenya
140,Sunrise Pharmacy ARU140,Retail Pharmacy,Arusha,Tanzania
141,Crescent Pharmacy KIS141,Retail Pharmacy,Kisumu,Kenya
142,Riverside Clinic NAI142,Clinic,Nairobi,Kenya
143,Harambee Hospital JIN143,Hospital,Jinja,Uganda
144,Meadow Pharmacy JIN144,Retail Pharmacy,Jinja,Uganda
145,Sunrise Clinic DOD145,Clinic,Dodoma,Tanzania
146,Prime Clinic KIS146,Clinic,Kisumu,Kenya
147,Cedar Pharmacy MOM147,Retail Pharmacy,Mombasa,Kenya
148,Metro Clinic GUL148,Clinic,Gulu,Uganda
149,Nyota Clinic NAK149,Clinic,Nakuru,Kenya
150,Jubilee Pharmacy JIN150,Retail Pharmacy,Jinja,Uganda
151,Sunrise Pharmacy ELD151,Retail Pharmacy,Eldoret,Kenya
152,Zawadi Pharmacy KIS152,Retail Pharmacy,Kisumu,Kenya
153,Metro Clinic NAK153,Clinic,Nakuru,Kenya
154,Lakeview Hospital JIN154,Hospital,Jinja,Uganda
155,Metro Hospital MBA155,Hospital,Mbarara,Uganda
156,Cedar Pharmacy ELD156,Retail Pharmacy,Eldoret,Kenya
157,Harambee Pharmacy MWA157,Retail Pharmacy,Mwanza,Tanzania
158,Highland Clinic ARU158,Clinic,Arusha,Tanzania
159,Uzima Clinic GUL159,Clinic,Gulu,Uganda
160,Hope Pharmacy ARU160,Retail Pharmacy,Arusha,Tanzania
161,Baraka Hospital NAK161,Hospital,Nakuru,Kenya
162,Lakeview Clinic MBA162,Clinic,Mbarara,Uganda
163,Prime Pharmacy JIN163,Retail Pharmacy,Jinja,Uganda
164,Meadow Pharmacy KIS164,Retail Pharmacy,Kisumu,Kenya
165,Hope Clinic KAM165,Clinic,Kampala,Uganda
166,Meadow Pharmacy NAK166,Retail Pharmacy,Nakuru,Kenya
167,Zawadi Clinic DAR167,Clinic,Dar es Salaam,Tanzania
168,Crescent Pharmacy KAM168,Retail Pharmacy,Kampala,Uganda
169,Highland Pharmacy MOM169,Retail Pharmacy,Mombasa,Kenya
170,Harambee Pharmacy MWA170,Retail Pharmacy,Mwanza,Tanzania
171,Jubilee Health Foundation MBA171,NGO,Mbarara,Uganda
172,Cedar Hospital NAK172,Hospital,Nakuru,Kenya
173,Unity Pharmacy ARU173,Retail Pharmacy,Arusha,Tanzania
174,Hope Pharmacy NAK174,Retail Pharmacy,Nakuru,Kenya
175,Uzima Pharmacy GUL175,Retail Pharmacy,Gulu,Uganda
176,Crescent Pharmacy DOD176,Retail Pharmacy,Dodoma,Tanzania
177,Meadow Hospital KIS177,Hospital,Kisumu,Kenya
178,Harambee Clinic MOM178,Clinic,Mombasa,Kenya
179,Riverside Health Foundation DOD179,NGO,Dodoma,Tanzania
180,Baraka Clinic MWA180,Clinic,Mwanza,Tanzania
181,Metro Pharmacy KIS181,Retail Pharmacy,Kisumu,Kenya
182,Kilimo Pharmacy NAK182,Retail Pharmacy,Nakuru,Kenya
183,Prime Pharmacy KIS183,Retail Pharmacy,Kisumu,Kenya
184,Sunrise Pharmacy DOD184,Retail Pharmacy,Dodoma,Tanzania
185,Baraka Clinic NAI185,Clinic,Nairobi,Kenya
186,Metro Clinic ELD186,Clinic,Eldoret,Kenya
187,Highland Health Foundation NAI187,NGO,Nairobi,Kenya
188,Unity Pharmacy NAI188,Retail Pharmacy,Nairobi,Kenya
189,Metro Health Foundation MWA189,NGO,Mwanza,Tanzania
190,Amani Clinic NAI190,Clinic,Nairobi,Kenya
191,Kilimo Clinic ARU191,Clinic,Arusha,Tanzania
192,Uzima Pharmacy DAR192,Retail Pharmacy,Dar es Salaam,Tanzania
193,Highland Hospital JIN193,Hospital,Jinja,Uganda
194,Riverside Health Foundation MBA194,NGO,Mbarara,Uganda
195,Prime Pharmacy GUL195,Retail Pharmacy,Gulu,Uganda
196,Highland Pharmacy MWA196,Retail Pharmacy,Mwanza,Tanzania
197,Sunrise Pharmacy KIS197,Retail Pharmacy,Kisumu,Kenya
198,Prime Clinic NAK198,Clinic,Nakuru,Kenya
199,Sunrise Pharmacy DOD199,Retail Pharmacy,Dodoma,Tanzania
200,Uzima Clinic JIN200,Clinic,Jinja,Uganda
201,Jubilee Pharmacy ARU201,Retail Pharmacy,Arusha,Tanzania
202,Lakeview Pharmacy ELD202,Retail Pharmacy,Eldoret,Kenya
203,Amani Pharmacy KIS203,Retail Pharmacy,Kisumu,Kenya
204,Cedar Clinic NAI204,Clinic,Nairobi,Kenya
205,Lakeview Clinic KAM205,Clinic,Kampala,Uganda
206,Highland Clinic NAI206,Clinic,Nairobi,Kenya
207,Riverside Clinic GUL207,Clinic,Gulu,Uganda
208,Jubilee Clinic NAI208,Clinic,Nairobi,Kenya
209,Nyota Hospital ARU209,Hospital,Arusha,Tanzania
210,Unity Pharmacy NAK210,Retail Pharmacy,Nakuru,Kenya
211,Harambee Clinic MOM211,Clinic,Mombasa,Kenya
212,Uzima Pharmacy NAI212,Retail Pharmacy,Nairobi,Kenya
213,Prime Pharmacy DAR213,Retail Pharmacy,Dar es Salaam,Tanzania
214,Uzima Clinic ELD214,Clinic,Eldoret,Kenya
215,Harambee Clinic KIS215,Clinic,Kisumu,Kenya
216,Metro Pharmacy DOD216,Retail Pharmacy,Dodoma,Tanzania
217,Highland Pharmacy KAM217,Retail Pharmacy,Kampala,Uganda
218,Sunrise Hospital MBA218,Hospital,Mbarara,Uganda
219,Nyota Pharmacy GUL219,Retail Pharmacy,Gulu,Uganda
220,Metro Hospital KAM220,Hospital,Kampala,Uganda
221,Baraka Clinic MOM221,Clinic,Mombasa,Kenya
222,Zawadi Pharmacy GUL222,Retail Pharmacy,Gulu,Uganda
223,Kilimo Pharmacy JIN223,Retail Pharmacy,Jinja,Uganda
224,Sunrise Pharmacy MBA224,Retail Pharmacy,Mbarara,Uganda
225,Zawadi Clinic NAI225,Clinic,Nairobi,Kenya
226,Cedar Clinic NAK226,Clinic,Nakuru,Kenya
227,Kilimo Health Foundation KIS227,NGO,Kisumu,Kenya
228,Kilimo Hospital NAI228,Hospital,Nairobi,Kenya
229,Crescent Pharmacy KAM229,Retail Pharmacy,Kampala,Uganda
230,Nyota Pharmacy NAI230,Retail Pharmacy,Nairobi,Kenya
231,Uzima Clinic NAI231,Clinic,Nairobi,Kenya
232,Nyota Pharmacy MOM232,Retail Pharmacy,Mombasa,Kenya
233,Unity Hospital MOM233,Hospital,Mombasa,Kenya
234,Prime Clinic DAR234,Clinic,Dar es Salaam,Tanzania
