invoice_line_id,date_id,customer_id,product_id,sales_rep_id,units_sold,gross_revenue_local,discount_applied_local
1,20240119,684,7,1,71,1429403.13,140938.13
2,20240104,209,64,1,47,578216.64,44563.98
3,20240108,442,54,1,92,934740.21,39244.48
4,20240124,507,7,1,9,181191.95,15359.31
5,20240113,26,98,1,19,965383.24,55972.58
6,20240116,275,21,1,51,824824.19,77613.29
7,20240126,615,45,1,30,420797.51,40788.52
8,20240108,615,22,1,30,730708.61,30412.68
9,20240110,441,43,1,94,2482643.6,155713.87
10,20240111,626,64,1,24,295259.56,30066.45
11,20240103,443,99,1,4,1194030.43,84965.39
12,20240117,701,47,1,400,769626.72,50052.43
13,20240109,529,60,1,193,1028748.5,107885.4
14,20240121,244,28,1,65,1710895.5,225481.3
15,20240106,477,91,1,4,764674.89,64133.6
16,20240102,585,80,1,5,596990.53,52907.37
17,20240101,315,97,1,40,297140.33,26214.81
18,20240123,749,27,1,417,963246.48,115006.85
19,20240101,626,65,1,74,1082092.36,62332.48
20,20240222,127,52,1,155,528212.1,65915.65
21,20240208,396,59,1,69,694765.64,80366.76
22,20240206,413,56,1,400,2077999.2,212165.34
23,20240220,158,95,1,16,844790.87,72242.32
24,20240220,22,98,1,32,1650310.08,185318.35
25,20240228,593,22,1,25,618062.51,65218.85
26,20240227,237,40,1,33,547355.26,42888.97
27,20240229,201,83,1,3,216952.46,19907.7
28,20240227,484,2,1,165,2513672.99,284289.72
29,20240218,703,67,1,208,1909541.87,149290.3
30,20240206,585,6,1,104,923338.81,47705.64
31,20240223,264,97,1,40,301599.78,29416.84
32,20240215,385,12,1,27,893965.25,88770.59
33,20240201,239,44,1,11,286494.54,27213.88
34,20240217,355,72,1,318,1120279.58,93338.8
35,20240213,196,42,1,98,1831072.57,157709.22
36,20240305,339,12,1,6,195824.64,9758.03
37,20240314,253,38,1,107,1961194.44,206093.6
38,20240315,399,39,1,56,1720796.56,187264.15
39,20240329,176,7,1,52,1047438.08,86908.51
40,20240311,300,80,1,12,1433531.76,135483.04
41,20240307,122,11,1,40,1347358.4,138859.39
42,20240304,648,69,1,231,872269.86,72636.85
43,20240320,613,27,1,304,702592.64,63717.98
44,20240322,246,41,1,80,642367.2,53709.27
45,20240307,140,52,1,400,1343680.0,100044.16
46,20240311,593,47,1,225,433143.0,29890.42
47,20240314,478,76,1,1,387565.61,59180.71
48,20240319,484,11,1,43,1448410.28,125959.25
49,20240314,338,47,1,400,770032.0,82410.73
50,20240318,33,22,1,27,657984.06,41825.5
